julian,date
2453881.0,1b421.b24
2453881.5,1b421.b25
2453882.0,1b421.b25
2453882.5,1b421.b26
2453883.0,1b421.b26
2453883.5,1b421.b27
2453884.0,1b421.b27
2453884.5,1b421.b1b7
2453885.0,1b421.b1b7
2453885.5,1b421.b1b6
2453886.0,1b421.b1b6
2453886.5,1b421.b1b5
2453887.0,1b421.b1b5
2453887.5,1b421.b1b4
2453888.0,1b421.b1b4
2453888.5,1b421.b1b3
2453889.0,1b421.b1b3
2453889.5,1b421.b1b2
2453890.0,1b421.b1b2
2453890.5,1b421.b1b1
2453891.0,1b421.b1b1
2453891.5,1b421.b1b0
2453892.0,1b421.b10
2453892.5,1b421.b11
2453893.0,1b421.b11
2453893.5,1b421.b12
2453894.0,1b421.b12
2453894.5,1b421.b13
2453895.0,1b421.b13
2453895.5,1b421.b14
2453896.0,1b421.b14
2453896.5,1b421.b15
2453897.0,1b421.b15
2453897.5,1b421.b16
2453898.0,1b421.b16
2453898.5,1b421.b17
2453899.0,1b421.b17
2453899.5,1b421.b18
2453900.0,1b421.b0b8
2453900.5,1b421.b0b7
2453901.0,1b421.b0b7
2453901.5,1b421.b0b6
2453902.0,1b421.b0b6
2453902.5,1b421.b0b5
2453903.0,1b421.b0b5
2453903.5,1b421.b0b4
2453904.0,1b421.b0b4
2453904.5,1b421.b0b3
2453905.0,1b421.b0b3
2453905.5,1b421.b0b2
2453906.0,1b421.b0b2
2453906.5,1b421.b0b1
2453907.0,1b421.b0b1
2453907.5,1b421.b0b0
2453908.0,1b421.00
2453908.5,1b421.01
2453909.0,1b421.01
2453909.5,1b421.02
2453910.0,1b421.02
2453910.5,1b421.03
2453911.0,1b421.03
2453911.5,1b421.04
2453912.0,1b421.04
2453912.5,1b421.05
2453913.0,1b421.05
2453913.5,1b421.06
2453914.0,1b421.06
2453914.5,1b421.07
2453915.0,1b421.07
2453915.5,1b421.08
2453916.0,1b421.1b8
2453916.5,1b421.1b7
2453917.0,1b421.1b7
2453917.5,1b421.1b6
2453918.0,1b421.1b6
2453918.5,1b421.1b5
2453919.0,1b421.1b5
2453919.5,1b421.1b4
2453920.0,1b421.1b4
2453920.5,1b421.1b3
2453921.0,1b421.1b3
2453921.5,1b421.1b2
2453922.0,1b421.1b2
2453922.5,1b421.1b1
2453923.0,1b421.1b1
2453923.5,1b421.1b0
2453924.0,1b421.10
2453924.5,1b421.11
2453925.0,1b421.11
2453925.5,1b421.12
2453926.0,1b421.12
2453926.5,1b421.13
2453927.0,1b421.13
2453927.5,1b421.14
2453928.0,1b421.14
2453928.5,1b421.15
2453929.0,1b421.15
2453929.5,1b421.16
2453930.0,1b421.16
2453930.5,1b421.17
2453931.0,1b421.17
2453931.5,1b421.2b7
2453932.0,1b421.2b7
2453932.5,1b421.2b6
2453933.0,1b421.2b6
2453933.5,1b421.2b5
2453934.0,1b421.2b5
2453934.5,1b421.2b4
2453935.0,1b421.2b4
2453935.5,1b421.2b3
2453936.0,1b421.2b3
2453936.5,1b421.2b2
2453937.0,1b421.2b2
2453937.5,1b421.2b1
2453938.0,1b421.2b1
2453938.5,1b421.2b0
2453939.0,1b421.20
2453939.5,1b421.21
2453940.0,1b421.21
2453940.5,1b421.22
2453941.0,1b421.22
2453941.5,1b421.23
2453942.0,1b421.23
2453942.5,1b421.24
2453943.0,1b421.24
2453943.5,1b421.25
2453944.0,1b421.25
2453944.5,1b421.26
2453945.0,1b421.26
2453945.5,1b421.27
2453946.0,1b421.27
2453946.5,1b421.28
2453947.0,1b421.3b8
2453947.5,1b421.3b7
2453948.0,1b421.3b7
2453948.5,1b421.3b6
2453949.0,1b421.3b6
2453949.5,1b421.3b5
2453950.0,1b421.3b5
2453950.5,1b421.3b4
2453951.0,1b421.3b4
2453951.5,1b421.3b3
2453952.0,1b421.3b3
2453952.5,1b421.3b2
2453953.0,1b421.3b2
2453953.5,1b421.3b1
2453954.0,1b421.3b1
2453954.5,1b421.3b0
2453955.0,1b421.30
2453955.5,1b421.31
2453956.0,1b421.31
2453956.5,1b421.32
2453957.0,1b421.32
2453957.5,1b421.33
2453958.0,1b421.33
2453958.5,1b421.34
2453959.0,1b421.34
2453959.5,1b421.35
